Protein.Group,Protein.Ids,Protein.Names,Genes,First.Protein.Description,name,ID,Index
Q8IZ83;Q8IZ83-3,Q8IZ83;Q8IZ83-3,A16A1_HUMAN,ALDH16A1,Aldehyde dehydrogenase family 16 member A1,ALDH16A1,Q8IZ83;Q8IZ83-3,Q8IZ83;Q8IZ83-3
Q8IZD4,Q8IZD4,DCP1B_HUMAN,DCP1B,mRNA-decapping enzyme 1B,DCP1B,Q8IZD4,Q8IZD4
Q8IZH2;Q8IZH2-2,Q8IZH2;Q8IZH2-2,XRN1_HUMAN,XRN1,5'-3' exoribonuclease 1,XRN1,Q8IZH2;Q8IZH2-2,Q8IZH2;Q8IZH2-2
Q8IZL8,Q8IZL8,PELP1_HUMAN,PELP1,"Proline-, glutamic acid- and leucine-rich protein 1",PELP1,Q8IZL8,Q8IZL8
Q8IZP0;Q8IZP0-10;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9,Q8IZP0;Q8IZP0-5;Q9NYB9;Q9NYB9-2;Q8IZP0-2;Q8IZP0-4;Q8IZP0-10;Q8IZP0-12;Q8IZP0-3;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9;Q9NYB9-4,ABI1_HUMAN,ABI1,Abl interactor 1,ABI1,Q8IZP0;Q8IZP0-10;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9,Q8IZP0;Q8IZP0-10;Q8IZP0-12;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9
Q8IZQ5,Q8IZQ5,SELH_HUMAN,SELENOH,Selenoprotein H,SELENOH,Q8IZQ5,Q8IZQ5
Q8IZR5,Q8IZR5;Q8IZR5-2;Q8IZR5-3,CKLF4_HUMAN,CMTM4,CKLF-like MARVEL transmembrane domain-containing protein 4,CMTM4,Q8IZR5,Q8IZR5
Q8N0W3;Q8N0W3-2,Q8N0W3;Q8N0W3-2,FCSK_HUMAN,FCSK,L-fucose kinase,FCSK,Q8N0W3;Q8N0W3-2,Q8N0W3;Q8N0W3-2
Q8N0X4,Q8N0X4;Q8N0X4-2,CLYBL_HUMAN,CLYBL,"Citramalyl-CoA lyase, mitochondrial",CLYBL,Q8N0X4,Q8N0X4
Q8N0X7,Q8N0X7,SPART_HUMAN,SPART,Spartin,SPART,Q8N0X7,Q8N0X7
Q8N0Z8,Q8N0Z8,PUSL1_HUMAN,PUSL1,tRNA pseudouridine synthase-like 1,PUSL1,Q8N0Z8,Q8N0Z8
Q8N108;Q8N108-12;Q8N108-13;Q8N108-14;Q8N108-15;Q8N108-16;Q8N108-17;Q8N108-18;Q8N108-19,Q8N108;Q8N108-16;Q8N108-12;Q8N108-13;Q8N108-14;Q8N108-15;Q8N108-17;Q8N108-18;Q8N108-19,MIER1_HUMAN,MIER1,Mesoderm induction early response protein 1,MIER1,Q8N108;Q8N108-12;Q8N108-13;Q8N108-14;Q8N108-15;Q8N108-16;Q8N108-17;Q8N108-18;Q8N108-19,Q8N108;Q8N108-12;Q8N108-13;Q8N108-14;Q8N108-15;Q8N108-16;Q8N108-17;Q8N108-18;Q8N108-19
Q8N118,Q8N118;Q8N118-2;Q8N118-3,CP4X1_HUMAN,CYP4X1,Cytochrome P450 4X1,CYP4X1,Q8N118,Q8N118
Q8N122;Q8N122-3,Q8N122;Q8N122-3,RPTOR_HUMAN,RPTOR,Regulatory-associated protein of mTOR,RPTOR,Q8N122;Q8N122-3,Q8N122;Q8N122-3
Q8N128,Q8N128,F177A_HUMAN,FAM177A1,Protein FAM177A1,FAM177A1,Q8N128,Q8N128
Q8N129,Q8N129,CNPY4_HUMAN,CNPY4,Protein canopy homolog 4,CNPY4,Q8N129,Q8N129
Q8N131;Q8N131-2,Q8N131;Q8N131-2,PORIM_HUMAN,TMEM123,Porimin,TMEM123,Q8N131;Q8N131-2,Q8N131;Q8N131-2
Q8N142,Q8N142,PURA1_HUMAN,ADSS1,Adenylosuccinate synthetase isozyme 1,ADSS1,Q8N142,Q8N142
Q8N163,Q8N163;Q8N163-2,CCAR2_HUMAN,CCAR2,Cell cycle and apoptosis regulator protein 2,CCAR2,Q8N163,Q8N163
Q8N183,Q8N183,NDUF2_HUMAN,NDUFAF2,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 2,NDUFAF2,Q8N183,Q8N183
Q8N1B4,Q8N1B4;Q8N1B4-2,VPS52_HUMAN,VPS52,Vacuolar protein sorting-associated protein 52 homolog,VPS52,Q8N1B4,Q8N1B4
Q8N1F7,Q8N1F7;Q8N1F7-2,NUP93_HUMAN,NUP93,Nuclear pore complex protein Nup93,NUP93,Q8N1F7,Q8N1F7
Q8N1G0,Q8N1G0;Q8N1G0-2,ZN687_HUMAN,ZNF687,Zinc finger protein 687,ZNF687,Q8N1G0,Q8N1G0
Q8N1G2,Q8N1G2,CMTR1_HUMAN,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,CMTR1,Q8N1G2,Q8N1G2
Q8N1G4,Q8N1G4,LRC47_HUMAN,LRRC47,Leucine-rich repeat-containing protein 47,LRRC47,Q8N1G4,Q8N1G4
Q8N1K5;Q8N1K5-2;Q8N1K5-3;Q8N1K5-4,Q8N1K5;Q8N1K5-2;Q8N1K5-3;Q8N1K5-4,THMS1_HUMAN,THEMIS,Protein THEMIS,THEMIS,Q8N1K5;Q8N1K5-2;Q8N1K5-3;Q8N1K5-4,Q8N1K5;Q8N1K5-2;Q8N1K5-3;Q8N1K5-4
Q8N1N4;Q8N1N4-2,Q8N1N4;Q8N1N4-2,K2C78_HUMAN,KRT78,"Keratin, type II cytoskeletal 78",KRT78,Q8N1N4;Q8N1N4-2,Q8N1N4;Q8N1N4-2
Q8N1S5;Q8N1S5-2,Q8N1S5;Q8N1S5-2,S39AB_HUMAN,SLC39A11,Zinc transporter ZIP11,SLC39A11,Q8N1S5;Q8N1S5-2,Q8N1S5;Q8N1S5-2
Q8N201,Q8N201,INT1_HUMAN,INTS1,Integrator complex subunit 1,INTS1,Q8N201,Q8N201
Q8N271,Q8N271;Q8N271-2,PROM2_HUMAN,PROM2,Prominin-2,PROM2,Q8N271,Q8N271
Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4,Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4;Q8N2F6-5;Q8N2F6-6,ARM10_HUMAN,ARMC10,Armadillo repeat-containing protein 10,ARMC10,Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4,Q8N2F6;Q8N2F6-2;Q8N2F6-3;Q8N2F6-4
Q8N2G8;Q8N2G8-3,Q8N2G8;Q8N2G8-2;Q8N2G8-3,GHDC_HUMAN,GHDC,GH3 domain-containing protein,GHDC,Q8N2G8;Q8N2G8-3,Q8N2G8;Q8N2G8-3
Q8N2K0;Q8N2K0-2,Q8N2K0;Q8N2K0-2;Q8N2K0-3,ABD12_HUMAN,ABHD12,Lysophosphatidylserine lipase ABHD12,ABHD12,Q8N2K0;Q8N2K0-2,Q8N2K0;Q8N2K0-2
Q8N2S1;Q8N2S1-2;Q8N2S1-3,Q8N2S1;Q8N2S1-2;Q8N2S1-3;Q8N2S1-4,LTBP4_HUMAN,LTBP4,Latent-transforming growth factor beta-binding protein 4,LTBP4,Q8N2S1;Q8N2S1-2;Q8N2S1-3,Q8N2S1;Q8N2S1-2;Q8N2S1-3
Q8N335,Q8N335,GPD1L_HUMAN,GPD1L,Glycerol-3-phosphate dehydrogenase 1-like protein,GPD1L,Q8N335,Q8N335
Q8N386,Q8N386,LRC25_HUMAN,LRRC25,Leucine-rich repeat-containing protein 25,LRRC25,Q8N386,Q8N386
Q8N392;Q8N392-2,Q8N392;Q8N392-2,RHG18_HUMAN,ARHGAP18,Rho GTPase-activating protein 18,ARHGAP18,Q8N392;Q8N392-2,Q8N392;Q8N392-2
Q8N3C0,Q8N3C0,ASCC3_HUMAN,ASCC3,Activating signal cointegrator 1 complex subunit 3,ASCC3,Q8N3C0,Q8N3C0
Q8N3D4,Q8N3D4,EH1L1_HUMAN,EHBP1L1,EH domain-binding protein 1-like protein 1,EHBP1L1,Q8N3D4,Q8N3D4
Q8N3F8,Q8N3F8,MILK1_HUMAN,MICALL1,MICAL-like protein 1,MICALL1,Q8N3F8,Q8N3F8
Q8N3P4;Q8N3P4-2;Q8N3P4-3,Q8N3P4;Q8N3P4-2;Q8N3P4-3,VPS8_HUMAN,VPS8,Vacuolar protein sorting-associated protein 8 homolog,VPS8,Q8N3P4;Q8N3P4-2;Q8N3P4-3,Q8N3P4;Q8N3P4-2;Q8N3P4-3
Q8N3R9;Q8N3R9-2,Q8N3R9;Q8N3R9-2,PALS1_HUMAN,PALS1,Protein PALS1,PALS1,Q8N3R9;Q8N3R9-2,Q8N3R9;Q8N3R9-2
Q8N3U4;Q8N3U4-2,Q8N3U4;Q8N3U4-2,STAG2_HUMAN,STAG2,Cohesin subunit SA-2,STAG2,Q8N3U4;Q8N3U4-2,Q8N3U4;Q8N3U4-2
Q8N3V7-2,Q8N3V7;Q8N3V7-2;Q8N3V7-3,SYNPO_HUMAN,SYNPO,Isoform 2 of Synaptopodin,SYNPO,Q8N3V7-2,Q8N3V7-2
Q8N3X1;Q8N3X1-2,Q8N3X1;Q8N3X1-2,FNBP4_HUMAN,FNBP4,Formin-binding protein 4,FNBP4,Q8N3X1;Q8N3X1-2,Q8N3X1;Q8N3X1-2
Q8N3Y1,Q8N3Y1;Q8N3Y1-2,FBXW8_HUMAN,FBXW8,F-box/WD repeat-containing protein 8,FBXW8,Q8N3Y1,Q8N3Y1
Q8N423;Q8N423-1;Q8N423-4,Q8N423;Q8NHL6;Q8N423-1;Q8N423-4;Q8NHL6-2;Q8NHL6-3;Q8NHL6-4,LIRB2_HUMAN,LILRB2,Leukocyte immunoglobulin-like receptor subfamily B member 2,LILRB2,Q8N423;Q8N423-1;Q8N423-4,Q8N423;Q8N423-1;Q8N423-4
Q8N436,Q8N436,CPXM2_HUMAN,CPXM2,Inactive carboxypeptidase-like protein X2,CPXM2,Q8N436,Q8N436
Q8N465,Q8N465;Q8N465-2;Q8N465-3,D2HDH_HUMAN,D2HGDH,"D-2-hydroxyglutarate dehydrogenase, mitochondrial",D2HGDH,Q8N465,Q8N465
Q8N474,Q8N474,SFRP1_HUMAN,SFRP1,Secreted frizzled-related protein 1,SFRP1,Q8N474,Q8N474
Q8N4C6-10;Q8N4C6-7,Q8N4C6;Q8N4C6-10;Q8N4C6-11;Q8N4C6-2;Q8N4C6-4;Q8N4C6-5;Q8N4C6-6;Q8N4C6-7;Q8N4C6-9,NIN_HUMAN,NIN,Isoform 3 of Ninein,NIN,Q8N4C6-10;Q8N4C6-7,Q8N4C6-10;Q8N4C6-7
Q8N4N3,Q8N4N3;Q8N4N3-2,KLH36_HUMAN,KLHL36,Kelch-like protein 36,KLHL36,Q8N4N3,Q8N4N3
Q8N4N8;Q99661;Q99661-2,Q8N4N8;Q99661;Q99661-2,KIF2B_HUMAN;KIF2C_HUMAN,KIF2B;KIF2C,Kinesin-like protein KIF2B,KIF2B;KIF2C,Q8N4N8;Q99661;Q99661-2,Q8N4N8;Q99661;Q99661-2
Q8N4P3,Q8N4P3,MESH1_HUMAN,HDDC3,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1",HDDC3,Q8N4P3,Q8N4P3
Q8N4Q0,Q8N4Q0,PTGR3_HUMAN,PTGR3,Prostaglandin reductase 3,PTGR3,Q8N4Q0,Q8N4Q0
Q8N4T8,Q8N4T8,CBR4_HUMAN,CBR4,3-oxoacyl-[acyl-carrier-protein] reductase,CBR4,Q8N4T8,Q8N4T8
Q8N4V1;Q8N4V1-2,Q8N4V1;Q8N4V1-2,EMC5_HUMAN,MMGT1,ER membrane protein complex subunit 5,MMGT1,Q8N4V1;Q8N4V1-2,Q8N4V1;Q8N4V1-2
Q8N4Y2,Q8N4Y2;Q8N4Y2-3;Q8N4Y2-2,EFC4A_HUMAN,CRACR2B,EF-hand calcium-binding domain-containing protein 4A,CRACR2B,Q8N4Y2,Q8N4Y2
Q8N511,Q8N511,TM199_HUMAN,TMEM199,Transmembrane protein 199,TMEM199,Q8N511,Q8N511
Q8N554;Q8N554-2,Q8N554;Q8N554-2,ZN276_HUMAN,ZNF276,Zinc finger protein 276,ZNF276,Q8N554;Q8N554-2,Q8N554;Q8N554-2
Q8N573-2,Q8N573;Q8N573-2;Q8N573-3;Q8N573-5;Q8N573-8,OXR1_HUMAN,OXR1,Isoform 2 of Oxidation resistance protein 1,OXR1,Q8N573-2,Q8N573-2
Q8N5A5;Q8N5A5-2;Q8N5A5-3,Q8N5A5;Q8N5A5-2;Q8N5A5-4;Q8N5A5-3,ZGPAT_HUMAN,ZGPAT,Zinc finger CCCH-type with G patch domain-containing protein,ZGPAT,Q8N5A5;Q8N5A5-2;Q8N5A5-3,Q8N5A5;Q8N5A5-2;Q8N5A5-3
Q8N5C6,Q8N5C6;Q8N5C6-2,SRBD1_HUMAN,SRBD1,S1 RNA-binding domain-containing protein 1,SRBD1,Q8N5C6,Q8N5C6
Q8N5C8;Q8N5C8-2,Q8N5C8;Q8N5C8-2,TAB3_HUMAN,TAB3,TGF-beta-activated kinase 1 and MAP3K7-binding protein 3,TAB3,Q8N5C8;Q8N5C8-2,Q8N5C8;Q8N5C8-2
Q8N5F7,Q8N5F7,NKAP_HUMAN,NKAP,NF-kappa-B-activating protein,NKAP,Q8N5F7,Q8N5F7
Q8N5G0;Q8N5G0-2,Q8N5G0;Q8N5G0-2,SIM20_HUMAN,SMIM20,Small integral membrane protein 20,SMIM20,Q8N5G0;Q8N5G0-2,Q8N5G0;Q8N5G0-2
Q8N5H7-4,Q8N5H7;Q8N5H7-2;Q8N5H7-3;Q8N5H7-4;Q8N5H7-5;Q8N5H7-6,SH2D3_HUMAN,SH2D3C,Isoform 4 of SH2 domain-containing protein 3C,SH2D3C,Q8N5H7-4,Q8N5H7-4
Q8N5J2,Q8N5J2,MINY1_HUMAN,MINDY1,Ubiquitin carboxyl-terminal hydrolase MINDY-1,MINDY1,Q8N5J2,Q8N5J2
Q8N5K1,Q8N5K1,CISD2_HUMAN,CISD2,CDGSH iron-sulfur domain-containing protein 2,CISD2,Q8N5K1,Q8N5K1
Q8N5L8,Q8N5L8,RP25L_HUMAN,RPP25L,Ribonuclease P protein subunit p25-like protein,RPP25L,Q8N5L8,Q8N5L8
Q8N5M4,Q8N5M4;Q8N5M4-2,TTC9C_HUMAN,TTC9C,Tetratricopeptide repeat protein 9C,TTC9C,Q8N5M4,Q8N5M4
Q8N5N7,Q8N5N7,RM50_HUMAN,MRPL50,"39S ribosomal protein L50, mitochondrial",MRPL50,Q8N5N7,Q8N5N7
Q8N5W9,Q8N5W9,RFLB_HUMAN,RFLNB,Refilin-B,RFLNB,Q8N5W9,Q8N5W9
Q8N684;Q8N684-2;Q8N684-3,Q8N684;Q8N684-3;Q8N684-2,CPSF7_HUMAN,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,CPSF7,Q8N684;Q8N684-2;Q8N684-3,Q8N684;Q8N684-2;Q8N684-3
Q8N699,Q8N699,MYCT1_HUMAN,MYCT1,Myc target protein 1,MYCT1,Q8N699,Q8N699
Q8N6G6,Q8N6G6,ATL1_HUMAN,ADAMTSL1,ADAMTS-like protein 1,ADAMTSL1,Q8N6G6,Q8N6G6
Q8N6H7,Q8N6H7;Q8N6H7-2;Q8N6H7-3,ARFG2_HUMAN,ARFGAP2,ADP-ribosylation factor GTPase-activating protein 2,ARFGAP2,Q8N6H7,Q8N6H7
Q8N6M0,Q8N6M0;Q8N6M0-2,OTU6B_HUMAN,OTUD6B,Deubiquitinase OTUD6B,OTUD6B,Q8N6M0,Q8N6M0
Q8N6R0;Q8N6R0-3,Q8N6R0;Q8N6R0-1;Q8N6R0-2;Q8N6R0-3,EFNMT_HUMAN,METTL13,eEF1A lysine and N-terminal methyltransferase,METTL13,Q8N6R0;Q8N6R0-3,Q8N6R0;Q8N6R0-3
Q8N6T3,Q8N6T3;Q8N6T3-3;Q8N6T3-2;Q8N6T3-4;Q8N6T3-5,ARFG1_HUMAN,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1,ARFGAP1,Q8N6T3,Q8N6T3
Q8N766;Q8N766-2;Q8N766-3;Q8N766-4,Q8N766;Q8N766-2;Q8N766-3;Q8N766-4,EMC1_HUMAN,EMC1,ER membrane protein complex subunit 1,EMC1,Q8N766;Q8N766-2;Q8N766-3;Q8N766-4,Q8N766;Q8N766-2;Q8N766-3;Q8N766-4
Q8N7H5;Q8N7H5-3,Q8N7H5;Q8N7H5-3,PAF1_HUMAN,PAF1,RNA polymerase II-associated factor 1 homolog,PAF1,Q8N7H5;Q8N7H5-3,Q8N7H5;Q8N7H5-3
Q8N7R7,Q8N7R7;Q8N7R7-3,CCYL1_HUMAN,CCNYL1,Cyclin-Y-like protein 1,CCNYL1,Q8N7R7,Q8N7R7
Q8N806,Q8N806,UBR7_HUMAN,UBR7,Putative E3 ubiquitin-protein ligase UBR7,UBR7,Q8N806,Q8N806
Q8N8A2,Q8N8A2;Q8N8A2-2,ANR44_HUMAN,ANKRD44,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B,ANKRD44,Q8N8A2,Q8N8A2
Q8N8A6,Q8N8A6,DDX51_HUMAN,DDX51,ATP-dependent RNA helicase DDX51,DDX51,Q8N8A6,Q8N8A6
Q8N8J7,Q8N8J7,F241A_HUMAN,FAM241A,Uncharacterized protein FAM241A,FAM241A,Q8N8J7,Q8N8J7
Q8N8N7,Q8N8N7;Q8N8N7-2,PTGR2_HUMAN,PTGR2,Prostaglandin reductase 2,PTGR2,Q8N8N7,Q8N8N7
Q8N8R5,Q8N8R5,CB069_HUMAN,C2orf69,Mitochondrial protein C2orf69,C2orf69,Q8N8R5,Q8N8R5
Q8N8S7,Q8N8S7;Q8N8S7-2;Q8N8S7-3,ENAH_HUMAN,ENAH,Protein enabled homolog,ENAH,Q8N8S7,Q8N8S7
Q8N954,Q8N954,GPT11_HUMAN,GPATCH11,G patch domain-containing protein 11,GPATCH11,Q8N954,Q8N954
Q8N983-4,Q8N983;Q8N983-3;Q8N983-2;Q8N983-4;Q8N983-6;Q8N983-7,RM43_HUMAN,MRPL43,"Isoform 4 of 39S ribosomal protein L43, mitochondrial",MRPL43,Q8N983-4,Q8N983-4
Q8N999;Q8N999-3,Q8N999;Q8N999-3,CL029_HUMAN,C12orf29,Uncharacterized protein C12orf29,C12orf29,Q8N999;Q8N999-3,Q8N999;Q8N999-3
Q8N9M1;Q8N9M1-2;Q8N9M1-3,Q8N9M1;Q8N9M1-2;Q8N9M1-3,CS047_HUMAN,C19orf47,Uncharacterized protein C19orf47,C19orf47,Q8N9M1;Q8N9M1-2;Q8N9M1-3,Q8N9M1;Q8N9M1-2;Q8N9M1-3
Q8N9M5,Q8N9M5,TM102_HUMAN,TMEM102,Transmembrane protein 102,TMEM102,Q8N9M5,Q8N9M5
Q8N9N7,Q8N9N7,LRC57_HUMAN,LRRC57,Leucine-rich repeat-containing protein 57,LRRC57,Q8N9N7,Q8N9N7
Q8N9N8,Q8N9N8,EIF1A_HUMAN,EIF1AD,Probable RNA-binding protein EIF1AD,EIF1AD,Q8N9N8,Q8N9N8
Q8N9T8,Q8N9T8,KRI1_HUMAN,KRI1,Protein KRI1 homolog,KRI1,Q8N9T8,Q8N9T8
Q8N9U0;Q8N9U0-2,Q8N9U0;Q8N9U0-2,TAC2N_HUMAN,TC2N,Tandem C2 domains nuclear protein,TC2N,Q8N9U0;Q8N9U0-2,Q8N9U0;Q8N9U0-2
Q8N9V3;Q8N9V3-2,Q8N9V3;Q8N9V3-2,WSDU1_HUMAN,WDSUB1,"WD repeat, SAM and U-box domain-containing protein 1",WDSUB1,Q8N9V3;Q8N9V3-2,Q8N9V3;Q8N9V3-2
Q8NAF0,Q8NAF0,ZN579_HUMAN,ZNF579,Zinc finger protein 579,ZNF579,Q8NAF0,Q8NAF0
Q8NAV1,Q8NAV1,PR38A_HUMAN,PRPF38A,Pre-mRNA-splicing factor 38A,PRPF38A,Q8NAV1,Q8NAV1
Q8NB37-2,Q8NB37;Q8NB37-2;Q8NB37-3,GALD1_HUMAN,GATD1,Isoform 2 of Glutamine amidotransferase-like class 1 domain-containing protein 1,GATD1,Q8NB37-2,Q8NB37-2
Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,AT11C_HUMAN,ATP11C,Phospholipid-transporting ATPase IG,ATP11C,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4,Q8NB49;Q8NB49-2;Q8NB49-3;Q8NB49-4
Q8NB90,Q8NB90,SPAT5_HUMAN,SPATA5,Ribosome biogenesis protein SPATA5,SPATA5,Q8NB90,Q8NB90
Q8NBF2,Q8NBF2,NHLC2_HUMAN,NHLRC2,NHL repeat-containing protein 2,NHLRC2,Q8NBF2,Q8NBF2
Q8NBJ4;Q8NBJ4-2,Q8NBJ4;Q8NBJ4-2,GOLM1_HUMAN,GOLM1,Golgi membrane protein 1,GOLM1,Q8NBJ4;Q8NBJ4-2,Q8NBJ4;Q8NBJ4-2
Q8NBJ5,Q8NBJ5,GT251_HUMAN,COLGALT1,Procollagen galactosyltransferase 1,COLGALT1,Q8NBJ5,Q8NBJ5
Q8NBJ7,Q8NBJ7;Q8NBJ7-2;Q8NBJ7-3,SUMF2_HUMAN,SUMF2,Inactive C-alpha-formylglycine-generating enzyme 2,SUMF2,Q8NBJ7,Q8NBJ7
Q8NBK3;Q8NBK3-2;Q8NBK3-4;Q8NBK3-5,Q8NBK3;Q8NBK3-2;Q8NBK3-4;Q8NBK3-5,SUMF1_HUMAN,SUMF1,Formylglycine-generating enzyme,SUMF1,Q8NBK3;Q8NBK3-2;Q8NBK3-4;Q8NBK3-5,Q8NBK3;Q8NBK3-2;Q8NBK3-4;Q8NBK3-5
Q8NBL1,Q8NBL1,PGLT1_HUMAN,POGLUT1,Protein O-glucosyltransferase 1,POGLUT1,Q8NBL1,Q8NBL1
Q8NBM8,Q8NBM8,PCYXL_HUMAN,PCYOX1L,Prenylcysteine oxidase-like,PCYOX1L,Q8NBM8,Q8NBM8
Q8NBN3;Q8NBN3-3,Q8NBN3;Q8NBN3-2;Q8NBN3-3,TM87A_HUMAN,TMEM87A,Transmembrane protein 87A,TMEM87A,Q8NBN3;Q8NBN3-3,Q8NBN3;Q8NBN3-3
Q8NBN7,Q8NBN7,RDH13_HUMAN,RDH13,Retinol dehydrogenase 13,RDH13,Q8NBN7,Q8NBN7
Q8NBS9,Q8NBS9;Q8NBS9-2,TXND5_HUMAN,TXNDC5,Thioredoxin domain-containing protein 5,TXNDC5,Q8NBS9,Q8NBS9
Q8NBT2;Q8NBT2-2,Q8NBT2;Q8NBT2-2,SPC24_HUMAN,SPC24,Kinetochore protein Spc24,SPC24,Q8NBT2;Q8NBT2-2,Q8NBT2;Q8NBT2-2
Q8NBX0,Q8NBX0,SCPDL_HUMAN,SCCPDH,Saccharopine dehydrogenase-like oxidoreductase,SCCPDH,Q8NBX0,Q8NBX0
Q8NBZ0,Q8NBZ0,IN80E_HUMAN,INO80E,INO80 complex subunit E,INO80E,Q8NBZ0,Q8NBZ0
Q8NC44,Q8NC44,RETR2_HUMAN,RETREG2,Reticulophagy regulator 2,RETREG2,Q8NC44,Q8NC44
Q8NC51,Q8NC51;Q8NC51-3,PAIRB_HUMAN,SERBP1,Plasminogen activator inhibitor 1 RNA-binding protein,SERBP1,Q8NC51,Q8NC51
Q8NC56,Q8NC56,LEMD2_HUMAN,LEMD2,LEM domain-containing protein 2,LEMD2,Q8NC56,Q8NC56
Q8NC74,Q8NC74,RB8NL_HUMAN,RBBP8NL,RBBP8 N-terminal-like protein,RBBP8NL,Q8NC74,Q8NC74
Q8NC96,Q8NC96,NECP1_HUMAN,NECAP1,Adaptin ear-binding coat-associated protein 1,NECAP1,Q8NC96,Q8NC96
Q8NCA5,Q8NCA5,FA98A_HUMAN,FAM98A,Protein FAM98A,FAM98A,Q8NCA5,Q8NCA5
Q8NCC3,Q8NCC3;Q8NCC3-2,PAG15_HUMAN,PLA2G15,Phospholipase A2 group XV,PLA2G15,Q8NCC3,Q8NCC3
Q8NCF5,Q8NCF5,NF2IP_HUMAN,NFATC2IP,NFATC2-interacting protein,NFATC2IP,Q8NCF5,Q8NCF5
Q8NCL4,Q8NCL4,GALT6_HUMAN,GALNT6,Polypeptide N-acetylgalactosaminyltransferase 6,GALNT6,Q8NCL4,Q8NCL4
Q8NCM8;Q8NCM8-2,Q8NCM8;Q8NCM8-2,DYHC2_HUMAN,DYNC2H1,Cytoplasmic dynein 2 heavy chain 1,DYNC2H1,Q8NCM8;Q8NCM8-2,Q8NCM8;Q8NCM8-2
Q8NCN5,Q8NCN5,PDPR_HUMAN,PDPR,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",PDPR,Q8NCN5,Q8NCN5
Q8NCW5,Q8NCW5,NNRE_HUMAN,NAXE,NAD(P)H-hydrate epimerase,NAXE,Q8NCW5,Q8NCW5
Q8ND04-2,Q8ND04;Q8ND04-2;Q8ND04-3,SMG8_HUMAN,SMG8,Isoform 2 of Nonsense-mediated mRNA decay factor SMG8,SMG8,Q8ND04-2,Q8ND04-2
Q8ND24,Q8ND24;Q8ND24-2,RN214_HUMAN,RNF214,RING finger protein 214,RNF214,Q8ND24,Q8ND24
Q8ND30,Q8ND30;Q8ND30-2;Q8ND30-3,LIPB2_HUMAN,PPFIBP2,Liprin-beta-2,PPFIBP2,Q8ND30,Q8ND30
Q8ND56;Q8ND56-2;Q8ND56-3,Q8ND56;Q8ND56-2;Q8ND56-3,LS14A_HUMAN,LSM14A,Protein LSM14 homolog A,LSM14A,Q8ND56;Q8ND56-2;Q8ND56-3,Q8ND56;Q8ND56-2;Q8ND56-3
Q8ND71,Q8ND71,GIMA8_HUMAN,GIMAP8,GTPase IMAP family member 8,GIMAP8,Q8ND71,Q8ND71
Q8ND76;Q8ND76-2,Q8ND76;Q8ND76-2;Q8ND76-3,CCNY_HUMAN,CCNY,Cyclin-Y,CCNY,Q8ND76;Q8ND76-2,Q8ND76;Q8ND76-2
Q8NDA2,Q8NDA2;Q8NDA2-2;Q8NDA2-4,HMCN2_HUMAN,HMCN2,Hemicentin-2,HMCN2,Q8NDA2,Q8NDA2
Q8NDA8,Q8NDA8;Q8NDA8-2;Q8NDA8-3,MROH1_HUMAN,MROH1,Maestro heat-like repeat-containing protein family member 1,MROH1,Q8NDA8,Q8NDA8
Q8NDB2;Q8NDB2-2;Q8NDB2-3;Q8NDB2-4,Q8NDB2;Q8NDB2-2;Q8NDB2-3;Q8NDB2-4,BANK1_HUMAN,BANK1,B-cell scaffold protein with ankyrin repeats,BANK1,Q8NDB2;Q8NDB2-2;Q8NDB2-3;Q8NDB2-4,Q8NDB2;Q8NDB2-2;Q8NDB2-3;Q8NDB2-4
Q8NDH3;Q8NDH3-2,Q8NDH3;Q8NDH3-5;Q8NDH3-2;Q8NDH3-4,PEPL1_HUMAN,NPEPL1,Probable aminopeptidase NPEPL1,NPEPL1,Q8NDH3;Q8NDH3-2,Q8NDH3;Q8NDH3-2
Q8NDT2,Q8NDT2;Q8NDT2-2,RB15B_HUMAN,RBM15B,Putative RNA-binding protein 15B,RBM15B,Q8NDT2,Q8NDT2
